# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes,
0,soloAUV 20220909-022435-008.png,7,1663,1029,1830,1147,1,-1,copepod,1,
1,soloAUV 20220909-022435-008.png,7,1985,1893,2064,1973,1,-1,copepod,1,
2,soloAUV 20220909-022436-009.png,8,2631,1960,2798,2106,1,-1,copepod,1,
3,soloAUV 20220909-022437-010.png,9,2035,576,2137,708,1,-1,copepod,1,
4,soloAUV 20220909-022444-017.png,16,3229,1303,3395,1415,1,-1,copepod,1,
5,soloAUV 20220909-022445-018.png,17,1598,36,2384,184,1,-1,hydrozoa-maybe,1,(poly) 2384 54 2296 36 1716 124 1598 184 1742 179 2384 54
6,soloAUV 20220909-022448-021.png,20,2747,353,2817,423,1,-1,copepod-maybe,1,
7,soloAUV 20220909-022449-022.png,21,2457,1065,2584,1141,1,-1,copepod,1,
8,soloAUV 20220909-022452-024.png,23,3058,710,3266,771,1,-1,copepod,1,
9,soloAUV 20220909-022457-029.png,28,1286,2400,1426,2458,1,-1,copepod-maybe-edge,1,(poly) 1286 2400 1334 2458 1426 2440 1425 2407 1286 2400
10,soloAUV 20220909-022458-030.png,29,1067,807,1277,945,1,-1,copepod,1,
11,soloAUV 20220909-022459-031.png,30,1739,1143,1811,1211,1,-1,copepod,1,
12,soloAUV 20220909-022459-031.png,30,1754,52,2559,155,1,-1,hydrozoa-maybe,1,(poly) 2413 52 1825 96 1754 117 1880 155 2430 155 2559 85 2413 52
13,soloAUV 20220909-022503-034.png,33,2066,2518,2230,2583,1,-1,copepod,1,
14,soloAUV 20220909-022503-034.png,33,2217,2035,2315,2126,1,-1,copepod,1,
15,soloAUV 20220909-022503-034.png,33,1086,929,1232,1135,1,-1,copepod,1,
16,soloAUV 20220909-022504-035.png,34,1945,598,2094,721,1,-1,copepod,1,
17,soloAUV 20220909-022505-036.png,35,3019,913,3284,1106,1,-1,copepod-centropages,1,
18,soloAUV 20220909-022505-036.png,35,1548,2174,1665,2216,1,-1,copepod-maybe,1,
19,soloAUV 20220909-022506-037.png,36,2022,621,2178,809,1,-1,copepod,1,
20,soloAUV 20220909-022506-037.png,36,2990,1021,3257,1133,1,-1,copepod,1,
21,soloAUV 20220909-022508-039.png,38,1138,1775,1272,1897,1,-1,copepod,1,
22,soloAUV 20220909-022508-039.png,38,1951,1345,2014,1430,1,-1,unknown,1,
23,soloAUV 20220909-022510-041.png,40,1983,945,2056,1016,1,-1,copepod-maybe,1,
24,soloAUV 20220909-022510-041.png,40,3080,1107,3264,1208,1,-1,copepod,1,
25,soloAUV 20220909-022512-042.png,41,1842,118,1923,180,1,-1,copepod,1,
26,soloAUV 20220909-022512-042.png,41,3093,1653,3239,1758,1,-1,copepod,1,
27,soloAUV 20220909-022512-042.png,41,2301,495,2409,620,1,-1,unknown,1,
28,soloAUV 20220909-022514-044.png,43,1787,855,1907,971,1,-1,copepod,1,
29,soloAUV 20220909-022515-045.png,44,1169,1047,1339,1139,1,-1,copepod,1,
30,soloAUV 20220909-022516-046.png,45,2609,2436,2691,2482,1,-1,unknown,1,
31,soloAUV 20220909-022519-049.png,48,1202,1500,1358,1605,1,-1,copepod,1,
32,soloAUV 20220909-022519-049.png,48,1597,1353,1758,1492,1,-1,copepod,1,
33,soloAUV 20220909-022521-051.png,50,1157,1780,1306,1883,1,-1,copepod,1,
34,soloAUV 20220909-022521-051.png,50,1340,1597,1562,1864,1,-1,euphausiid-maybe,1,(poly) 1562 1620 1506 1597 1340 1832 1377 1864 1497 1745 1562 1620
35,soloAUV 20220909-022521-051.png,50,2332,567,2489,683,1,-1,copepod,1,
36,soloAUV 20220909-022521-051.png,50,2756,234,2952,371,1,-1,copepod-edge,1,(poly) 2952 257 2913 234 2847 257 2756 347 2783 371 2952 257
37,soloAUV 20220909-022525-054.png,53,2459,552,2764,806,1,-1,copepod,1,
38,soloAUV 20220909-022527-056.png,55,2757,566,3026,751,1,-1,copepod,1,
39,soloAUV 20220909-022527-056.png,55,2219,848,2336,964,1,-1,copepod-maybe,1,
40,soloAUV 20220909-022539-068.png,67,1416,1353,1660,1485,1,-1,copepod,1,
41,soloAUV 20220909-022539-068.png,67,2882,2077,3080,2176,1,-1,copepod,1,
42,soloAUV 20220909-022540-069.png,68,2895,1079,3155,1274,1,-1,copepod,1,
43,soloAUV 20220909-022544-072.png,71,1702,1096,1941,1310,1,-1,copepod,1,
44,soloAUV 20220909-022547-075.png,74,2031,1916,2270,2086,1,-1,copepod,1,
45,soloAUV 20220909-022547-075.png,74,2507,624,2597,717,1,-1,copepod,1,
46,soloAUV 20220909-022549-077.png,76,2614,628,2746,794,1,-1,copepod,1,
47,soloAUV 20220909-022550-078.png,77,3287,1055,3475,1177,1,-1,copepod-edge,1,
48,soloAUV 20220909-022553-081.png,80,2669,1226,2797,1354,1,-1,copepod,1,
49,soloAUV 20220909-022553-081.png,80,2392,60,2608,260,1,-1,copepod-edge,1,
50,soloAUV 20220909-022608-095.png,94,2156,1262,2237,1328,1,-1,echinoderm-larva-maybe,1,
51,soloAUV 20220909-022611-098.png,97,2855,1875,3051,2037,1,-1,copepod,1,
52,soloAUV 20220909-022623-109.png,108,3008,678,3165,777,1,-1,copepod,1,
53,soloAUV 20220909-022632-117.png,116,2402,2063,2538,2175,1,-1,copepod-maybe,1,
54,soloAUV 20220909-022706-148.png,147,1421,360,1574,486,1,-1,copepod,1,
55,soloAUV 20220909-022709-151.png,150,3039,1715,3336,1844,1,-1,ctenophore-maybe,1,
56,soloAUV 20220909-022753-191.png,190,2426,382,2726,562,1,-1,copepod,1,
57,soloAUV 20220909-022754-192.png,191,2557,1681,2701,1822,1,-1,copepod-maybe,1,
58,soloAUV 20220909-022813-209.png,208,2370,584,2440,645,1,-1,copepod-maybe,1,
59,soloAUV 20220909-022906-256.png,255,3326,1506,3476,1583,1,-1,unknown,1,
60,soloAUV 20220909-022919-268.png,267,3284,1649,3367,1719,1,-1,copepod-maybe,1,
61,soloAUV 20220909-022923-272.png,271,1866,1707,2260,2108,1,-1,copepod-calanus-maybe,1,
62,soloAUV 20220909-022935-282.png,281,3100,1132,3508,1288,1,-1,copepod-edge,1,(poly) 3500 1163 3112 1132 3100 1250 3227 1277 3508 1288 3500 1163
63,soloAUV 20220909-022936-283.png,282,2435,624,2636,820,1,-1,copepod,1,
64,soloAUV 20220909-023021-324.png,323,1708,2329,1965,2541,1,-1,unknown,1,
65,soloAUV 20220909-023032-334.png,333,2370,2424,2499,2512,1,-1,copepod-maybe,1,
66,soloAUV 20220909-023105-363.png,362,2062,1385,2433,1511,1,-1,copepod,1,
67,soloAUV 20220909-023328-492.png,491,3127,1740,3416,2025,1,-1,copepod-edge,1,
68,soloAUV 20220909-023329-493.png,492,1000,822,1474,1236,1,-1,copepod,1,
69,soloAUV 20220909-023330-494.png,493,1958,1133,2158,1266,1,-1,copepod,1,